address,bean_crv_token,bean,unripe_bean_crv_token,unripe_bean
0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,26707199607649170000,19245444.64,119388632.5,75646645.97
0x9f64674cab93986254c6329c4521c4f9737af864,,,,412635.03
0x79645bfb4ef32902f4ee436a23e4a10a50789e54,,,,24273.58
0xe7baf7af12e6b18c8cdd32292c6f06840cf71442,,0,,14586.81
0xaa4f23a13f25e88ba710243dd59305f382376252,,49.7,,8798.35
0x1860a5c708c1e982e293aa4338bdbcafb7cb90ac,,,,4269
0x8687c54f8a431134cde94ae3782cb7cba9963d12,,,,3640
0x93be7761f4c7153bc462a50f9eb5eb424c39c2cd,,0,0,2368.11
0xcfc46bf36f50bc2be1fac0c3aa09bbd32ac727f7,,,,1087.62
0x9821aac07d0724c69835367d596352aaf09c309c,72547371131417,0,6757.15,1005.04
0xf05b641229bb2aa63b205ad8b423a390f7ef05a7,,,0,726.88
0xb1d47d39c3bb868e5e4be068b7057d4caad0b31c,,0,,295.07
0x4b9184df8fa9f3fc008fcde7e7bbf7208ef5118d,,,,100
0xc42593f89d4b6647bff86fa309c72d5e93a9405c,,,,50
0x542a94e6f4d9d15aae550f7097d089f273e38f85,,,,7.26
0x1397c24478cbe0a54572adec2a333f87ad75ac02,,,,0.04
0x6a3e09694bdf65da8f6bf6bfad147811100f4c40,,,,0
0x3cc6cc687870c972127e073e05b956a1ee270164,,0,,0
0xd45accf4512af9ceac4c3ab0e770f54212cdf9ac,,0,500,0
0x1083d7254e01becd64c3230612bf20e14010d646,,0,,0
0x66b19a1241fd54fe74dd8e40b7df8c419492e423,,,,0
0xef5939492958abb8488ce5a5c68d61ac29c07732,,,0,0
0x85312d6a50928f3ffc7a192444601e6e04a428a2,,0,,0
0xf6aaada76ea7f044ffa028565b028740dce5389f,,0,,0
0x1d7603b4173d52188b37f493107870bc9b4ce746,,0,,0
0xae94fc8403b50e2d86a42acc6565f8e0fa68a31b,,0.56,,0
0x1d7603b4173d52188b37f493107870bc9b4ce746,,0,,0
0xf6aaada76ea7f044ffa028565b028740dce5389f,,0,,0
0x6d3f3553b5c369c7cee68c07d0b222103f37a0c3,0,0,0,0
0x85d365405dfcfeecdbd88a7c63476ff976943c89,,,,0
0xd67acddb195e31ad9e09f2cbc8d7f7891a6d44bf,,0,,0
0x8342e88c58aa3e0a63b7cf94b6d56589fd19f751,,0,,0
0x0ccbcaa60d8b59bdf751b70ee623d58c609170ac,,,,0
0xfd446abde36c9dc02bb872303965484330eda047,,,,0
0x3dd413fd4d03b1d8fd2c9ed34553f7dec3b26f5c,,,,0
0x3bb6c5d9883556aca4305a46ddffc67fcca39352,,0,0,0
0x66b19a1241fd54fe74dd8e40b7df8c419492e423,,,,0
0xb899183a31501d3641e6a2ab210c857b8923c800,,,,0
