,id,season,token,amount,withdrawnAmount,token_name
0,0x9f64674cab93986254c6329c4521c4f9737af864-0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449-2827,2827,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,2434106819,0,ur_bean
1,0x9f64674cab93986254c6329c4521c4f9737af864-0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449-4437,4437,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,476347983,0,ur_bean
2,0x9f64674cab93986254c6329c4521c4f9737af864-0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449-6074,6074,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,947150399,0,ur_bean
0,0xe7baf7af12e6b18c8cdd32292c6f06840cf71442-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6061,6061,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,1,28131532907,ur_bean_3crv
0,0xaa4f23a13f25e88ba710243dd59305f382376252-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6033,6033,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,1,16567643487,ur_bean_3crv
1,0xaa4f23a13f25e88ba710243dd59305f382376252-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-10208,10208,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,80817868,0,bean
0,0x93be7761f4c7153bc462a50f9eb5eb424c39c2cd-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-10855,10855,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,1,21008162368,ur_bean_3crv
0,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-5997,5997,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,30000000000,510000000000,ur_bean_3crv
1,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6004,6004,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,82486267797,2062156694925,ur_bean_3crv
2,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6009,6009,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,146630182214,3665754555350,ur_bean_3crv
3,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6012,6012,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,34607086895,865177172375,ur_bean_3crv
4,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6015,6015,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,211645200796,5291130019900,ur_bean_3crv
5,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6019,6019,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,47109078000,800854326000,ur_bean_3crv
6,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6020,6020,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,137323055339,3433076383475,ur_bean_3crv
